"","Fold Change","log2(FC)"
"1922",0.035398,-4.8202
"27",27.508,4.7818
"4135",27,4.7549
"2866",26.892,4.7491
"2688",0.037594,-4.7334
"3449",0.037644,-4.7314
"6289",26.4,4.7225
"669",0.038251,-4.7083
"2276",0.039062,-4.6781
"783",0.039667,-4.6559
"2672",0.040481,-4.6266
"850",0.041922,-4.5762
"2995",22.471,4.49
"2445",21.762,4.4437
"1845",21.641,4.4357
"1411",0.046286,-4.4333
"789",0.047133,-4.4071
"2547",21.169,4.4039
"3095",20.808,4.379
"1746",0.048077,-4.3785
"910",0.050886,-4.2966
"4475",18.481,4.208
"3192",18.367,4.199
"2353",0.054797,-4.1898
"469",0.055278,-4.1771
"4362",17.4,4.121
"2793",17.143,4.0996
"2085",16.793,4.0698
"2908",16.743,4.0655
"7434",16.706,4.0623
"3504",16.13,4.0117
"146",0.064164,-3.9621
"621",14.933,3.9005
"4294",0.069617,-3.8444
"1504",0.071942,-3.797
"2320",0.073394,-3.7682
"2067",0.074016,-3.756
"6871",13.2,3.7225
"987",0.076071,-3.7165
"2895",0.08042,-3.6363
"132",0.080645,-3.6323
"3083",0.083333,-3.585
"4571",11.832,3.5646
"2884",0.084976,-3.5568
"7090",11.6,3.5361
"30",11.5,3.5236
"1656",0.089286,-3.4854
"2461",11.156,3.4798
"1478",0.090314,-3.4689
"1459",0.090909,-3.4594
"4392",10.875,3.4429
"131",0.092593,-3.433
"689",0.092715,-3.4311
"1881",0.093484,-3.4191
"2110",10.644,3.412
"820",0.094354,-3.4058
"884",10.591,3.4047
"130",0.096154,-3.3785
"7354",0.096451,-3.3741
"6335",0.099757,-3.3254
"2546",0.10526,-3.248
"4892",9.4211,3.2359
"845",0.11294,-3.1464
"4015",0.11323,-3.1427
"2557",0.11588,-3.1093
"4202",8.4722,3.0827
"2126",0.11814,-3.0814
"7356",0.11814,-3.0814
"1896",0.12284,-3.0251
"6280",8.119,3.0213
"4574",8,3
"3424",0.12689,-2.9784
"1811",0.12698,-2.9773
"4314",7.7714,2.9582
"347",7.7608,2.9562
"654",0.13158,-2.926
"839",0.13158,-2.926
"2358",7.4809,2.9032
"522",7.4423,2.8958
"2457",0.13749,-2.8626
"1530",7.1866,2.8453
"3198",7.1429,2.8365
"2130",7.0038,2.8081
"2657",0.145,-2.7858
"3268",0.14706,-2.7655
"670",0.15504,-2.6893
"1068",6.3909,2.676
"1955",0.16667,-2.585
"199",0.16667,-2.585
"3154",0.16667,-2.585
"4019",5.7815,2.5314
"10",0.17355,-2.5265
"1461",0.17364,-2.5259
"3030",0.17397,-2.5231
"851",5.7103,2.5136
"806",0.17616,-2.5051
"1537",0.17745,-2.4945
"1813",5.5807,2.4804
"1660",0.18519,-2.433
"2372",0.1856,-2.4298
"5149",0.18961,-2.3989
"681",0.19042,-2.3928
"1437",5.1985,2.3781
"2132",5.1464,2.3636
"473",0.19472,-2.3605
"4766",5.0886,2.3473
